Percent Change,Close,Date,Shift
NA,117.260002,09-07-2012,+
0.019188129,119.510002,12-07-2012,+
0.034641452,123.650002,13-07-2012,+
0.002830562,123.300003,14-07-2012,-
0.010056812,122.059998,15-07-2012,-
0.029247911,118.489998,16-07-2012,-
0.012237354,119.940002,19-07-2012,+
0.001333967,120.099998,20-07-2012,+
0.022231457,117.43,21-07-2012,-
0.022481478,120.07,22-07-2012,+
0.009994145,118.870003,23-07-2012,-
0.003953908,118.400002,26-07-2012,-
0.010726393,117.129997,27-07-2012,-
0,117.129997,28-07-2012,-
0.002305097,116.860001,29-07-2012,-
0.008813948,117.889999,30-07-2012,+
0.018491823,120.07,02-08-2012,+
0.0195719,122.419998,03-08-2012,+
0.042150009,127.580002,04-08-2012,+
0.001959555,127.830002,05-08-2012,+
0.003833255,128.320007,06-08-2012,+
0.0039744,128.830002,09-08-2012,+
0.00908172,130,10-08-2012,+
0.031615392,125.889999,11-08-2012,-
0.005322099,126.559998,12-08-2012,+
0.014775569,124.690002,13-08-2012,-
0.011067431,126.07,16-08-2012,+
0.02213057,128.860001,17-08-2012,+
0.00613063,129.649994,18-08-2012,+
0.016043148,127.57,19-08-2012,-
0.001489394,127.760002,20-08-2012,+
0.009079555,126.599998,23-08-2012,-
0.016350703,124.529999,24-08-2012,-
0.018630041,126.849998,25-08-2012,+
0.015687797,124.860001,26-08-2012,-
0.014255951,126.639999,27-08-2012,+
0.022504722,123.790001,30-08-2012,-
0.008401333,124.830002,31-08-2012,+
0.061363477,132.490005,01-09-2012,+
0.020529866,135.210007,02-09-2012,+
0.026477227,138.789993,03-09-2012,+
0.011311997,137.220001,07-09-2012,-
0.013992115,139.139999,08-09-2012,+
0.00891193,140.380005,09-09-2012,+
0.014674433,142.440002,10-09-2012,+
0.018463949,145.070007,13-09-2012,+
0.004687344,145.75,14-09-2012,+
0.00205834,145.449997,15-09-2012,-
0.018425631,148.130005,16-09-2012,+
0.001282671,148.320007,17-09-2012,+
0.020091666,151.300003,20-09-2012,+
0.003767396,150.729996,21-09-2012,-
0.007297857,151.830002,22-09-2012,+
0.006718066,152.850006,23-09-2012,+
0.051553743,160.729996,24-09-2012,+
0.008461401,159.369995,27-09-2012,-
0.002070666,159.699997,28-09-2012,+
0.004445786,158.990005,29-09-2012,-
0.012139172,157.059998,30-09-2012,-
0.021329371,153.710007,01-10-2012,-
0.01092962,155.389999,04-10-2012,+
0.035266079,160.869995,05-10-2012,+
0.034002618,155.399994,06-10-2012,-
0.00559852,156.270004,07-10-2012,+
0.004607417,155.550003,08-10-2012,-
0.016200604,153.029999,11-10-2012,-
0.02254458,156.479996,12-10-2012,+
0.008371664,155.169998,13-10-2012,-
0.002320043,155.529999,14-10-2012,+
0.058573909,164.639999,15-10-2012,+
0.006559773,163.559998,18-10-2012,-
0.029897286,158.669998,19-10-2012,-
0,158.669998,20-10-2012,-
0.039705068,164.970001,21-10-2012,+
0.02521673,169.130005,22-10-2012,+
0.000768669,169,25-10-2012,-
0.005621284,169.949997,26-10-2012,+
0.014357176,167.509995,27-10-2012,-
0.003999755,166.839996,28-10-2012,-
0.009649964,165.229996,29-10-2012,-
0.016038214,162.580002,01-11-2012,-
0.012486154,164.610001,02-11-2012,+
0.023449365,168.470001,03-11-2012,+
