Percent Change,Close,Date,Shift
NA,20.5495,09-07-2012,-
0.00950281,20.744778,12-07-2012,+
0.02386162,21.239782,13-07-2012,+
0.012187319,21.498638,14-07-2012,+
0.001689828,21.534967,15-07-2012,+
0.02572746,20.980927,16-07-2012,-
0.010389579,21.19891,19-07-2012,+
0.001499605,21.16712,20-07-2012,-
0.024243638,20.653952,21-07-2012,-
0.012972626,20.921888,22-07-2012,+
0.001736555,20.95822,23-07-2012,+
0.009100773,21.148956,26-07-2012,+
0.021473022,21.603088,27-07-2012,+
0.009249557,21.403269,28-07-2012,-
0.015276872,21.076294,29-07-2012,-
0.007972369,20.908266,30-07-2012,-
0.033014742,21.598547,02-08-2012,+
0.00420519,21.507721,03-08-2012,-
0.012457805,21.239782,04-08-2012,-
0.00898013,21.049046,05-08-2012,-
0.097087393,19.005449,06-08-2012,-
0.017921124,19.346048,09-08-2012,+
0.006337987,19.223433,10-08-2012,-
0.036853303,18.514986,11-08-2012,-
0.015452456,18.228884,12-08-2012,-
0.007722853,18.369663,13-08-2012,+
0.002472228,18.415077,16-08-2012,+
0.006658457,18.537693,17-08-2012,+
0.013228831,18.782925,18-08-2012,+
0.014506793,18.510445,19-08-2012,-
0.022325773,18.097185,20-08-2012,-
0.0203262,17.729338,23-08-2012,-
0.016649635,17.434151,24-08-2012,-
0.003907216,17.366032,25-08-2012,-
0.000523033,17.356949,26-08-2012,-
0.005756254,17.257038,27-08-2012,-
0.014736886,17.511353,30-08-2012,+
0.002852664,17.461399,31-08-2012,-
0.019765942,17.80654,01-09-2012,+
0.011986663,18.019981,02-09-2012,+
0.016633147,18.31971,03-09-2012,+
0.010411573,18.128973,07-09-2012,-
0.027805602,17.624886,08-09-2012,-
0.000257647,17.629427,09-09-2012,+
0.013910378,17.384195,10-09-2012,-
0,17.384195,13-09-2012,-
0.026384656,17.842871,14-09-2012,+
0.008398985,17.992733,15-09-2012,+
0.018425105,18.324251,16-09-2012,+
0.029987638,17.77475,17-09-2012,-
0.006387319,17.888283,20-09-2012,+
0.013455176,18.128973,21-09-2012,+
0.009268479,17.960945,22-09-2012,-
0.015170583,18.233423,23-09-2012,+
0.020672476,18.610353,24-09-2012,+
0.006832648,18.737511,27-09-2012,+
0.008725172,18.900999,28-09-2012,+
0.021864506,19.31426,29-09-2012,+
0.010815946,19.105358,30-09-2012,-
0.03090086,18.514986,01-10-2012,-
0.003188552,18.45595,04-10-2012,-
0.004183041,18.533152,05-10-2012,+
0.001715305,18.501362,06-10-2012,-
0.001718252,18.533152,07-10-2012,+
0.008331287,18.687557,08-10-2012,+
0.001215087,18.710264,11-10-2012,+
0.003640729,18.778383,12-10-2012,+
0.020798117,19.168938,13-10-2012,+
0.001895306,19.132607,14-10-2012,-
0.016377904,19.445959,15-10-2012,+
0.01167677,19.673025,18-10-2012,+
0.011311174,19.4505,19-10-2012,-
0.000233464,19.445959,20-10-2012,-
0.009808567,19.255222,21-10-2012,-
0.011084889,19.468664,22-10-2012,+
0.000233298,19.473206,25-10-2012,+
0.001632448,19.504995,26-10-2012,+
0.013038404,19.250681,27-10-2012,-
0.006369437,19.373297,28-10-2012,+
0.014533561,19.091734,29-10-2012,-
0.010704161,19.296095,01-11-2012,+
0.009884642,19.48683,02-11-2012,+
0.020974166,19.89555,03-11-2012,+
0.005934694,20.013624,04-11-2012,+
0.00794194,19.854677,05-11-2012,-
0.012122585,20.095367,08-11-2012,+
0.002937792,20.036331,09-11-2012,-
0.000906653,20.054497,10-11-2012,+
0.024003644,19.573116,11-11-2012,-
0.02064965,19.168938,12-11-2012,-
0.007818065,19.318802,15-11-2012,+
0.017395489,18.982742,16-11-2012,-
0.019856457,18.605812,17-11-2012,-
0.017573917,18.932789,18-11-2012,+
0.019189249,19.296095,19-11-2012,+
0.017886521,19.641235,22-11-2012,+
0.021734071,20.068119,23-11-2012,+
0.010183266,19.86376,24-11-2012,-
0.012345699,19.618528,26-11-2012,-
0.013888912,19.346048,29-11-2012,-
0.015727657,19.04178,30-11-2012,-
0.015263489,19.332424,01-12-2012,+
0.01268501,19.577656,02-12-2012,+
0.001855636,19.541327,03-12-2012,-
0.004183237,19.459581,06-12-2012,-
0.01540249,19.159855,07-12-2012,-
0.011140063,19.373297,08-12-2012,+
0.002812892,19.318802,09-12-2012,-
0.0018805,19.355131,10-12-2012,+
0.022759236,18.914623,13-12-2012,-
0.002641078,18.864668,14-12-2012,-
0.007462734,18.723886,15-12-2012,-
0.017463095,19.050863,16-12-2012,+
0.000238414,19.055405,17-12-2012,+
0.001668293,19.023615,20-12-2012,-
0.000477459,19.032698,21-12-2012,+
0.01026008,18.837421,22-12-2012,-
0.006268109,18.955496,23-12-2012,+
0.001916542,18.991825,27-12-2012,+
0.010282214,19.187103,28-12-2012,+
0.001656738,19.218891,29-12-2012,+
0.001417668,19.191645,30-12-2012,-
0.003786179,19.118982,31-12-2012,-
0.01520196,19.409628,03-01-2013,+
0.020823635,19.813807,04-01-2013,+
0.013064274,20.07266,05-01-2013,+
0.015384707,20.381472,06-01-2013,+
0.004679103,20.476839,07-01-2013,+
0.005100885,20.372389,10-01-2013,-
0.012706217,20.631245,11-01-2013,+
0.004622455,20.726612,12-01-2013,+
0.00021909,20.731153,13-01-2013,+
0.013143504,21.003633,14-01-2013,+
0.001945901,21.044504,18-01-2013,+
0.000431514,21.035423,19-01-2013,-
0.009930915,21.244324,20-01-2013,+
0.009619464,21.448683,21-01-2013,+
0.006775381,21.594006,24-01-2013,+
0.009884317,21.380564,25-01-2013,-
0.004248157,21.289736,26-01-2013,-
0.002986322,21.226158,27-01-2013,-
0.026315737,20.667576,28-01-2013,-
0.003955132,20.749319,31-01-2013,+
0.018165897,21.126249,01-02-2013,+
0.007953518,21.294277,02-02-2013,+
0.009170445,21.489555,03-02-2013,+
0.002324571,21.539509,04-02-2013,+
0.014969468,21.861944,07-02-2013,+
0,21.861944,08-02-2013,-
0.016618193,22.22525,09-02-2013,+
0.008173316,22.043596,10-02-2013,-
0.00206019,22.08901,11-02-2013,+
0.00678455,21.939146,14-02-2013,-
0.006623913,21.793823,15-02-2013,-
0.020837739,22.247957,16-02-2013,+
0.007552604,22.079927,17-02-2013,-
0.0010284,22.102634,18-02-2013,+
0.009040506,21.902815,22-02-2013,-
0.096205625,19.795641,23-02-2013,-
0.032576313,19.150772,24-02-2013,-
0.012093925,19.38238,25-02-2013,+
0.022258722,19.813807,28-02-2013,+
0.016502482,19.48683,01-03-2013,-
0.007690527,19.636694,02-03-2013,+
0.000925105,19.618528,03-03-2013,-
0.013657396,19.35059,04-03-2013,-
0.014785234,19.064487,07-03-2013,-
0.010004728,19.255222,08-03-2013,+
0.008254748,19.096275,09-03-2013,-
0.013555209,18.837421,10-03-2013,-
0.006026993,18.950954,11-03-2013,+
0.00575132,18.841961,14-03-2013,-
0.013497162,18.587648,15-03-2013,-
0.019301205,18.228884,16-03-2013,-
0.032137458,18.814714,17-03-2013,+
0.002655103,18.764759,18-03-2013,-
0.010890574,18.969118,21-03-2013,+
0.000718115,18.955496,22-03-2013,-
0.007905992,19.105358,23-03-2013,+
0.02448308,19.573116,24-03-2013,+
0.013225079,19.31426,25-03-2013,-
0.009170012,19.137148,28-03-2013,-
0.024442305,18.669392,29-03-2013,-
0.004621682,18.755676,30-03-2013,+
0.007990328,18.605812,31-03-2013,-
0.000244064,18.610353,01-04-2013,+
0.015617275,18.31971,04-04-2013,-
0.001239485,18.297003,05-04-2013,-
0.022089847,18.701181,06-04-2013,+
0.002428403,18.655767,07-04-2013,-
0.009250276,18.483196,08-04-2013,-
0.008599541,18.642143,11-04-2013,+
0.000730817,18.655767,12-04-2013,+
0.001217157,18.678474,13-04-2013,+
0.018721069,18.328793,14-04-2013,-
0.002477741,18.283379,15-04-2013,-
0.01266768,18.051771,18-04-2013,-
0.006037746,18.160763,19-04-2013,+
0.022505662,18.569483,20-04-2013,+
0.002445518,18.614895,21-04-2013,+
0.01122225,18.405994,25-04-2013,-
0.003947681,18.478655,26-04-2013,+
0.008601654,18.637602,27-04-2013,+
0.012426921,18.405994,28-04-2013,-
0.003947627,18.333334,29-04-2013,-
0.007183582,18.201635,02-05-2013,-
0.006237517,18.315168,03-05-2013,+
0.015125278,18.59219,04-05-2013,+
0.003419715,18.52861,05-05-2013,-
0.000245134,18.533152,06-05-2013,+
0.005145752,18.628519,09-05-2013,+
0.013408098,18.878292,10-05-2013,+
0.01226843,18.646685,11-05-2013,-
0.004383836,18.564941,12-05-2013,-
0.011496993,18.3515,13-05-2013,-
0.015095333,18.074478,16-05-2013,-
