Percent Change,Close,Date,Shift
NA,232.234543,09-07-2012,+
0.017839943,236.377594,12-07-2012,+
0.028098264,243.019394,13-07-2012,+
0.004374466,244.082474,14-07-2012,+
0.005454484,245.413818,15-07-2012,+
0.069653071,228.319992,16-07-2012,-
0.014294758,231.583771,19-07-2012,+
0.033055909,239.238983,20-07-2012,+
0.008492696,237.207199,21-07-2012,-
0.015308886,240.838577,22-07-2012,+
0.010828963,243.446609,23-07-2012,+
0.002224196,242.905136,26-07-2012,-
0.007485128,244.723312,27-07-2012,+
0.016807757,240.610062,28-07-2012,-
0.001321358,240.927994,29-07-2012,+
0.000288675,240.858444,30-07-2012,-
0.011467478,243.620483,02-08-2012,+
0.001182704,243.332352,03-08-2012,-
0.033664763,251.524078,04-08-2012,+
0.003515556,252.408325,05-08-2012,+
0.01550874,248.49379,06-08-2012,-
0.010255451,251.042206,09-08-2012,+
0.003245259,250.227509,10-08-2012,-
0.023763654,244.281189,11-08-2012,-
0.00054906,244.415314,12-08-2012,+
0.011503809,241.603607,13-08-2012,-
0.001562675,241.226059,16-08-2012,-
0.010152576,243.675125,17-08-2012,+
0.017063535,239.517166,18-08-2012,-
0.029409892,232.472992,19-08-2012,-
0.012714509,229.517212,20-08-2012,-
0.004437014,230.535583,23-08-2012,+
0.027323444,224.236557,24-08-2012,-
0.007155693,225.841125,25-08-2012,+
0.008006699,224.032883,26-08-2012,-
0.017406565,227.932526,27-08-2012,+
0.013381903,224.882355,30-08-2012,-
0.005898066,223.555984,31-08-2012,-
0.022910096,228.677673,01-09-2012,+
0.00619119,230.09346,02-09-2012,+
0.015372028,233.630463,03-09-2012,+
0.012545192,230.699524,07-09-2012,-
0.013307518,233.769562,08-09-2012,+
0.011900206,236.551468,09-09-2012,+
8.40E-05,236.531586,10-09-2012,-
0.012874374,239.576782,13-09-2012,+
0.003815257,238.662735,14-09-2012,-
0.000437056,238.767044,15-09-2012,+
0.00087386,238.975693,16-09-2012,+
0.01889575,243.491318,17-09-2012,+
0.036988686,252.497742,20-09-2012,+
0.010191267,255.071014,21-09-2012,+
0.004946779,256.332794,22-09-2012,+
0.004883675,255.080948,23-09-2012,-
0.026894862,261.941315,24-09-2012,+
0.005917073,263.491241,27-09-2012,+
0.006108465,261.881714,28-09-2012,-
0.000986442,262.140045,29-09-2012,+
0.003600663,261.196167,30-09-2012,-
0.00032329,261.111725,01-10-2012,-
0.006221287,259.487274,04-10-2012,-
0.030401117,267.375977,05-10-2012,+
0.0072088,265.448517,06-10-2012,-
0.008122008,263.292542,07-10-2012,-
0.011961999,266.442047,08-10-2012,+
0.004642544,267.679016,11-10-2012,+
0.004732362,268.94577,12-10-2012,+
0.003527931,269.894592,13-10-2012,+
0.00436221,268.717255,14-10-2012,-
0.111881364,298.781708,15-10-2012,+
0.027034734,306.859192,18-10-2012,+
0.015994571,301.951111,19-10-2012,-
0.000246706,302.025604,20-10-2012,+
0.006595686,304.01767,21-10-2012,+
0.000882347,304.285919,22-10-2012,+
0.006481299,306.258087,25-10-2012,+
0.00340632,307.3013,26-10-2012,+
0.003443217,306.243195,27-10-2012,-
0.003422626,307.291351,28-10-2012,+
0.007889011,304.867126,29-10-2012,-
0.002118343,305.512939,01-11-2012,+
0.000975625,305.811005,02-11-2012,+
0.007439814,308.086182,03-11-2012,+
0.006594905,310.117981,04-11-2012,+
0.001297487,310.520355,05-11-2012,+
0.002703652,311.359894,08-11-2012,+
0.003111155,310.391205,09-11-2012,-
0.003104937,309.42746,10-11-2012,-
0.009134933,306.600861,11-11-2012,-
0.022521434,299.69577,12-11-2012,-
0.012962262,295.811035,15-11-2012,-
0.019732313,289.973999,16-11-2012,-
0.000291205,289.889557,17-11-2012,-
0.022294532,296.352509,18-11-2012,+
0.009605105,293.506012,19-11-2012,-
0.000660143,293.699768,22-11-2012,+
0.013886497,289.621307,23-11-2012,-
0.020514188,295.562653,24-11-2012,+
0.008353335,293.093719,26-11-2012,-
0.013372941,289.174194,29-11-2012,-
0.045352197,276.059509,30-11-2012,-
0.015547677,280.351593,01-12-2012,+
0.013236401,284.062439,02-12-2012,+
0.002063567,284.648621,03-12-2012,+
0.009354301,287.31131,06-12-2012,+
0.015180861,291.672943,07-12-2012,+
0.005790822,293.361969,08-12-2012,+
0.00162563,293.838867,09-12-2012,+
0.00120029,294.191559,10-12-2012,+
0.004069576,295.388794,13-12-2012,+
0.000487639,295.532837,14-12-2012,+
0.007749054,293.242737,15-12-2012,-
0.002388598,293.943176,16-12-2012,+
0.001537906,293.491119,17-12-2012,-
0.007210583,295.607361,20-12-2012,+
0.013460849,299.586487,21-12-2012,+
0.004012794,300.788666,22-12-2012,+
0.002081016,300.16272,23-12-2012,-
0.003061696,299.243713,27-12-2012,-
