Percent Change,Close,Date,Shift
NA,24.27,09-07-2012,-
0.023073754,24.83,12-07-2012,+
0.012082118,25.129999,13-07-2012,+
0.012335934,25.440001,14-07-2012,+
0.002751533,25.51,15-07-2012,+
0.024304234,24.889999,16-07-2012,-
0.013660145,25.23,19-07-2012,+
0.009908839,25.48,20-07-2012,+
0.014128689,25.120001,21-07-2012,-
0.028662379,25.84,22-07-2012,+
0.001161029,25.809999,23-07-2012,-
0.011235994,26.1,26-07-2012,+
0.002298851,26.16,27-07-2012,+
0.008027485,25.950001,28-07-2012,-
0.003082852,26.030001,29-07-2012,+
0.008451863,25.809999,30-07-2012,-
0.020147269,26.33,02-08-2012,+
0.006456513,26.16,03-08-2012,-
0.016437309,25.73,04-08-2012,-
0.013991411,25.370001,05-08-2012,-
0.007094915,25.549999,06-08-2012,+
0.002348415,25.610001,09-08-2012,+
0.021085552,25.07,10-08-2012,-
0.008376506,24.860001,11-08-2012,-
0.014883386,24.49,12-08-2012,-
0.003674969,24.4,13-08-2012,-
0.004098361,24.5,16-08-2012,+
0.008571388,24.709999,17-08-2012,+
0.00445168,24.82,18-08-2012,+
0.015310193,24.440001,19-08-2012,-
0.008592512,24.23,20-08-2012,-
0.002063599,24.280001,23-08-2012,+
0.009884678,24.040001,24-08-2012,-
0.002495799,24.1,25-08-2012,+
0.011618257,23.82,26-08-2012,-
0.004617968,23.93,27-08-2012,+
0.012118721,23.639999,30-08-2012,-
0.007191202,23.469999,31-08-2012,-
0.018321305,23.9,01-09-2012,+
0.001673682,23.940001,02-09-2012,+
0.014619882,24.290001,03-09-2012,+
0.01358592,23.959999,07-09-2012,-
0.001252045,23.93,08-09-2012,-
0.003343084,24.01,09-09-2012,+
0.00666389,23.85,10-09-2012,-
0.052830231,25.110001,13-09-2012,+
0.003185982,25.030001,14-09-2012,-
0.003595685,25.120001,15-09-2012,+
0.008359832,25.33,16-09-2012,+
0.004342716,25.219999,17-09-2012,-
0.008326765,25.43,20-09-2012,+
0.011010617,25.15,21-09-2012,-
0.021471133,24.610001,22-09-2012,-
