Date,Open,High,Low,Close,Adj Close,Volume
09-07-2012,17.9,18.26,17.870001,18.200001,16.615965,1894100
12-07-2012,18.15,18.24,18.02,18.15,16.57032,1395200
13-07-2012,18.33,18.440001,18.07,18.280001,16.689003,2987300
14-07-2012,18.280001,18.299999,17.950001,18.120001,16.542931,1811700
15-07-2012,18.07,18.23,17.82,18.139999,16.561182,1195100
16-07-2012,17.940001,18.1,17.540001,17.610001,16.077316,2621200
19-07-2012,17.66,17.780001,17.5,17.709999,16.168613,1437000
20-07-2012,17.51,18.18,17.42,18.15,16.57032,2303900
21-07-2012,18.4,18.4,17.76,17.780001,16.232523,1922800
22-07-2012,18,18.49,17.950001,18.4,16.798559,1906100
23-07-2012,18.440001,18.68,18.110001,18.629999,17.008543,1592500
26-07-2012,18.700001,19.030001,18.530001,19,17.346336,1598100
27-07-2012,19.52,20.1,19.43,19.49,17.793692,4258500
28-07-2012,19.84,19.889999,19.299999,19.34,17.656748,2230800
29-07-2012,19.4,19.6,19.09,19.459999,17.766304,2094300
30-07-2012,19.26,19.540001,19.09,19.469999,17.775431,3636200
02-08-2012,19.719999,20.16,19.49,20.1,18.350597,2490900
03-08-2012,20.059999,20.15,19.950001,20.040001,18.295822,2136500
04-08-2012,20.030001,20.27,19.959999,20.16,18.405375,2451400
05-08-2012,19.99,20.370001,19.860001,20.309999,18.54232,2246300
06-08-2012,20.09,20.299999,19.950001,20.209999,18.451027,2027400
09-08-2012,20.209999,20.5,20.15,20.48,18.697527,2224500
10-08-2012,20.299999,20.540001,20.049999,20.35,18.578846,2832600
11-08-2012,20.02,20.139999,19.65,19.76,18.040192,2875300
12-08-2012,19.5,20.129999,19.5,19.959999,18.22278,3158700
13-08-2012,19.889999,20.24,19.889999,19.940001,18.204527,2095000
16-08-2012,19.92,20.18,19.780001,20.15,18.396248,2594100
17-08-2012,20.32,20.4,20.129999,20.129999,18.377991,2164500
18-08-2012,20.129999,20.280001,19.940001,20.15,18.396248,2366700
19-08-2012,20.02,20.15,19.67,19.700001,17.985418,3161500
20-08-2012,19.59,19.620001,19.33,19.51,17.811951,1645000
23-08-2012,19.549999,19.629999,19.370001,19.42,17.729788,1232200
24-08-2012,19.25,19.25,18.809999,18.85,17.209394,3504300
25-08-2012,18.68,18.77,18.389999,18.67,17.045063,4487200
26-08-2012,18.51,18.65,18.18,18.32,16.725525,4101300
