Percent Change,Close,Date,Shift
NA,18.200001,09-07-2012,+
0.002747308,18.15,12-07-2012,-
0.00716259,18.280001,13-07-2012,+
0.008752735,18.120001,14-07-2012,-
0.001103642,18.139999,15-07-2012,+
0.029217091,17.610001,16-07-2012,-
0.005678478,17.709999,19-07-2012,+
0.024844778,18.15,20-07-2012,+
0.02038562,17.780001,21-07-2012,-
0.034870583,18.4,22-07-2012,+
0.012499946,18.629999,23-07-2012,+
0.019860495,19,26-07-2012,+
0.025789474,19.49,27-07-2012,+
0.007696254,19.34,28-07-2012,-
0.006204705,19.459999,29-07-2012,+
0.000513875,19.469999,30-07-2012,+
0.032357526,20.1,02-08-2012,+
0.002985025,20.040001,03-08-2012,-
0.005987974,20.16,04-08-2012,+
0.007440427,20.309999,05-08-2012,+
0.004923683,20.209999,06-08-2012,-
0.013359773,20.48,09-08-2012,+
0.006347656,20.35,10-08-2012,-
0.028992629,19.76,11-08-2012,-
0.010121407,19.959999,12-08-2012,+
0.001001904,19.940001,13-08-2012,-
0.010531544,20.15,16-08-2012,+
0.000992605,20.129999,17-08-2012,-
0.000993592,20.15,18-08-2012,+
0.022332457,19.700001,19-08-2012,-
0.00964472,19.51,20-08-2012,-
0.004613019,19.42,23-08-2012,-
0.029351184,18.85,24-08-2012,-
0.009549072,18.67,25-08-2012,-
0.018746652,18.32,26-08-2012,-
0.012008788,18.540001,27-08-2012,+
0.024271897,18.09,30-08-2012,-
0.009950249,17.91,31-08-2012,-
0.032384143,18.49,01-09-2012,+
0.014061655,18.75,02-09-2012,+
0.02346672,19.190001,03-09-2012,+
0.027618602,18.66,07-09-2012,-
0.000535906,18.65,08-09-2012,-
0.009115282,18.82,09-09-2012,+
0.007438842,18.959999,10-09-2012,+
0.020569674,19.35,13-09-2012,+
0.003100775,19.41,14-09-2012,+
0.004636785,19.5,15-09-2012,+
0.007179436,19.360001,16-09-2012,-
0.003615651,19.43,17-09-2012,+
0.013896089,19.700001,20-09-2012,+
0.009137106,19.52,21-09-2012,-
0.00204918,19.48,22-09-2012,-
0.007186858,19.34,23-09-2012,-
0.042916236,20.17,24-09-2012,+
0.02131879,19.74,27-09-2012,-
0.007598734,19.889999,28-09-2012,+
0.003519306,19.82,29-09-2012,-
0.019677094,19.43,30-09-2012,-
0.006690736,19.299999,01-10-2012,-
0.000518031,19.290001,04-10-2012,-
0.03058569,19.879999,05-10-2012,+
0.001006087,19.9,06-10-2012,+
0.006532663,19.77,07-10-2012,-
0.005563935,19.879999,08-10-2012,+
0.001006087,19.9,11-10-2012,+
0.005527638,20.01,12-10-2012,+
0.005497301,20.120001,13-10-2012,+
0.007952385,19.959999,14-10-2012,-
0.00250496,19.91,15-10-2012,-
0.028126519,20.469999,18-10-2012,+
0.014655545,20.17,19-10-2012,-
0.022310412,20.620001,20-10-2012,+
0.006789573,20.48,21-10-2012,-
0.008789062,20.66,22-10-2012,+
0.011616651,20.9,25-10-2012,+
0.002392344,20.85,26-10-2012,-
0.008633141,21.030001,27-10-2012,+
0.006181693,20.9,28-10-2012,-
0.010047895,21.110001,29-10-2012,+
0,21.110001,01-11-2012,-
0.018474608,21.5,02-11-2012,+
0.000465116,21.51,03-11-2012,+
0.017666155,21.889999,04-11-2012,+
0.01416181,22.200001,05-11-2012,+
0.009009054,22,08-11-2012,-
0.012727318,21.719999,09-11-2012,-
0.008287339,21.9,10-11-2012,+
0.007305936,21.74,11-11-2012,-
0.010579577,21.51,12-11-2012,-
0.0032543,21.58,15-11-2012,+
0.013901715,21.280001,16-11-2012,-
0.001409821,21.25,17-11-2012,-
0.027294118,21.83,18-11-2012,+
0.005955062,21.959999,19-11-2012,+
0.017759518,21.57,22-11-2012,-
0.015299026,21.24,23-11-2012,-
0.013182674,21.52,24-11-2012,+
0.000464684,21.51,26-11-2012,-
