Date,Open,High,Low,Close,Adj Close,Volume
09-07-2012,11.53,11.59,11.53,11.59,8.715228,4300
12-07-2012,11.47,11.61,11.47,11.5,8.647552,3100
13-07-2012,11.45,11.49,11.42,11.49,8.64003,16200
14-07-2012,11.61,11.73,11.61,11.61,8.730268,4800
15-07-2012,11.66,11.76,11.62,11.75,8.83554,20800
16-07-2012,11.94,11.94,11.79,11.79,8.865619,8200
19-07-2012,11.96,12.04,11.92,12.04,9.053609,21900
20-07-2012,12.1,12.36,12.06,12.36,9.294237,14700
21-07-2012,12.57,12.61,12.48,12.5,9.399511,3800
22-07-2012,12.42,12.58,12.42,12.45,9.434319,13800
23-07-2012,12.51,12.54,12.38,12.54,9.502521,29600
26-07-2012,12.11,12.33,12.11,12.25,9.282767,7600
27-07-2012,12.5,12.56,12.42,12.42,9.411588,6100
28-07-2012,12.67,12.85,12.5,12.55,9.510097,33500
29-07-2012,12.85,13,12.7,12.72,9.638923,4500
30-07-2012,12.68,12.88,12.68,12.74,9.654077,4000
02-08-2012,13.12,13.15,13.02,13.12,9.942032,642900
03-08-2012,13.4,13.45,13.36,13.36,10.123899,842900
04-08-2012,13.46,13.47,13.28,13.33,10.101164,695700
05-08-2012,13.27,13.4,13.27,13.3,10.078432,171100
06-08-2012,12.92,12.92,12.65,12.75,9.661654,6800
09-08-2012,12.71,12.79,12.71,12.76,9.66923,9300
10-08-2012,12.41,12.41,12.23,12.31,9.328232,20700
11-08-2012,11.75,11.86,11.75,11.78,8.926612,3100
12-08-2012,11.91,12.11,11.91,11.98,9.078164,12700
13-08-2012,12.1,12.21,12.1,12.21,9.252455,5400
16-08-2012,12.31,12.41,12.31,12.34,9.350965,8200
17-08-2012,12.5,12.55,12.5,12.52,9.487366,5100
18-08-2012,12.33,12.43,12.33,12.43,9.419167,5900
19-08-2012,12.35,12.35,12,12.03,9.116054,8500
20-08-2012,11.74,11.85,11.73,11.78,8.926612,7400
23-08-2012,11.66,11.83,11.64,11.64,8.820522,18700
24-08-2012,11.64,11.64,11.47,11.55,8.752323,17600
25-08-2012,11.24,11.42,11.2,11.42,8.653811,7900
26-08-2012,11.48,11.49,11.36,11.36,8.608345,8600
27-08-2012,11.36,11.51,11.36,11.49,8.706856,2100
30-08-2012,11.42,11.56,11.31,11.31,8.570455,4500
31-08-2012,11.41,11.53,11.41,11.41,8.646234,5500
01-09-2012,11.43,11.62,11.43,11.58,8.775056,7700
02-09-2012,11.68,11.76,11.67,11.7,8.865989,18300
03-09-2012,11.82,11.91,11.75,11.84,8.972078,34600
07-09-2012,12.3,12.3,12.08,12.08,9.153943,18200
08-09-2012,12.1,12.12,11.92,12,9.093322,22500
09-09-2012,12.02,12.18,12,12,9.093322,29700
10-09-2012,11.97,11.97,11.92,11.92,9.0327,1700
13-09-2012,12.14,12.14,12.03,12.06,9.138789,19800
14-09-2012,12.13,12.3,12.13,12.27,9.297922,22000
15-09-2012,12.24,12.35,12.22,12.35,9.358542,29600
16-09-2012,12.1,12.21,12.1,12.2,9.244877,13700
17-09-2012,12.27,12.33,12.2,12.33,9.343387,14500
20-09-2012,12.4,12.59,12.4,12.57,9.525254,11800
21-09-2012,12.6,12.6,12.47,12.51,9.479789,9600
22-09-2012,12.45,12.48,12.35,12.37,9.373699,12800
23-09-2012,12.34,12.4,12.2,12.24,9.275187,20500
24-09-2012,12.21,12.35,12.21,12.33,9.343387,10000
27-09-2012,12.48,12.59,12.41,12.51,9.479789,6500
28-09-2012,12.34,12.45,12.34,12.4,9.396433,3800
29-09-2012,12.4,12.43,12.3,12.31,9.328232,7700
30-09-2012,12.33,12.34,12.24,12.29,9.313078,3000
01-10-2012,12.27,12.42,12.25,12.29,9.313078,4500
04-10-2012,12.49,12.5,12.37,12.4,9.396433,9800
05-10-2012,12.42,12.56,12.42,12.56,9.517675,23100
06-10-2012,12.61,12.68,12.61,12.61,9.555567,5300
07-10-2012,12.79,12.96,12.77,12.77,9.676809,19100
08-10-2012,13.03,13.14,13,13.14,9.957188,32700
11-10-2012,13.07,13.23,13.03,13.07,9.904143,16200
12-10-2012,13.05,13.16,13.02,13.15,9.964766,3300
13-10-2012,13.47,13.6,13.47,13.55,10.267876,30000
14-10-2012,13.92,13.92,13.56,13.59,10.298185,41600
15-10-2012,14.05,14.13,13.95,14.09,10.677073,12200
18-10-2012,13.69,13.74,13.49,13.65,10.343654,8700
19-10-2012,13.4,13.65,13.38,13.4,10.15421,10800
20-10-2012,13.5,13.52,13.37,13.45,10.192096,15900
21-10-2012,13.35,13.5,13.25,13.39,10.146633,23200
22-10-2012,13.47,13.55,13.46,13.47,10.207253,7300
25-10-2012,13.64,13.7,13.6,13.6,10.305764,4400
26-10-2012,13.7,13.7,13.56,13.57,10.283031,3800
27-10-2012,13.03,13.22,13.03,13.17,9.97992,4000
28-10-2012,12.93,12.95,12.92,12.92,9.790476,3600
29-10-2012,12.85,12.93,12.85,12.9,9.77532,5000
01-11-2012,13.26,13.46,13.26,13.3,10.078432,17800
02-11-2012,13.49,13.5,13.42,13.42,10.169365,4400
03-11-2012,13.42,13.42,13.33,13.33,10.101164,4500
04-11-2012,13.75,14,13.75,13.85,10.495211,28100
05-11-2012,14.05,14.05,13.89,13.95,10.570987,10800
08-11-2012,13.9,13.9,13.76,13.76,10.42701,3500
09-11-2012,14.05,14.08,13.88,13.98,10.593719,20500
10-11-2012,14,14.4,14,14.3,10.836207,27800
11-11-2012,14.46,14.53,14.38,14.45,10.949874,21500
12-11-2012,14.43,14.5,14.3,14.42,10.927141,17900
15-11-2012,14.15,14.15,13.93,13.93,10.555832,61200
16-11-2012,13.98,13.98,13.7,13.75,10.419432,9200
17-11-2012,13.56,13.7,13.51,13.6,10.305764,18000
18-11-2012,13.65,13.84,13.65,13.84,10.487632,2200
19-11-2012,14.04,14.14,13.99,14.05,10.646763,17500
22-11-2012,14.19,14.2,14.03,14.16,10.781433,6700
23-11-2012,13.7,13.7,13.51,13.68,10.41596,5500
24-11-2012,13.84,13.84,13.71,13.74,10.461642,11900
26-11-2012,13.17,13.3,13.17,13.29,10.119013,6300
29-11-2012,13.32,13.33,13.25,13.27,10.103784,7700
30-11-2012,13.2,13.3,13.11,13.11,9.98196,39400
01-12-2012,13.53,13.7,13.53,13.7,10.431187,13000
02-12-2012,13.75,13.82,13.66,13.7,10.431187,5500
03-12-2012,14.14,14.39,14.14,14.17,10.789047,13800
06-12-2012,14.49,14.49,14.25,14.31,10.89564,5800
07-12-2012,14.22,14.42,14.18,14.21,10.819503,8200
08-12-2012,13.77,13.97,13.77,13.78,10.492099,3800
09-12-2012,13.98,14,13.86,14,10.659607,4300
10-12-2012,13.87,14,13.87,14,10.659607,7800
13-12-2012,13.71,13.75,13.71,13.72,10.446416,8400
14-12-2012,13.67,13.67,13.5,13.55,10.316978,17900
15-12-2012,13.51,13.51,13.31,13.31,10.134242,8700
16-12-2012,12.75,12.91,12.75,12.83,9.768771,9600
17-12-2012,13,13,12.91,13,9.898207,7900
20-12-2012,12.73,12.9,12.73,12.84,9.776384,15400
21-12-2012,12.7,12.8,12.7,12.78,9.7307,20200
22-12-2012,12.89,12.99,12.85,12.86,9.791611,5700
23-12-2012,12.99,12.99,12.89,12.91,9.829682,3300
27-12-2012,12.96,13.09,12.91,12.91,9.829682,5500
28-12-2012,12.85,12.85,12.67,12.7,9.669785,12300
29-12-2012,12.78,12.78,12.78,12.78,9.7307,5300
30-12-2012,12.89,12.89,12.62,12.8,9.745927,4600
