Percent Change,Close,Date,Shift
NA,11.59,09-07-2012,+
0.007765315,11.5,12-07-2012,-
0.000869565,11.49,13-07-2012,-
0.010443864,11.61,14-07-2012,+
0.01205857,11.75,15-07-2012,+
0.003404255,11.79,16-07-2012,+
0.021204411,12.04,19-07-2012,+
0.026578073,12.36,20-07-2012,+
0.011326861,12.5,21-07-2012,+
0.004,12.45,22-07-2012,-
0.007228916,12.54,23-07-2012,+
0.023125997,12.25,26-07-2012,-
0.013877551,12.42,27-07-2012,+
0.010466989,12.55,28-07-2012,+
0.013545817,12.72,29-07-2012,+
0.001572327,12.74,30-07-2012,+
0.029827316,13.12,02-08-2012,+
0.018292683,13.36,03-08-2012,+
0.002245509,13.33,04-08-2012,-
0.002250563,13.3,05-08-2012,-
0.041353383,12.75,06-08-2012,-
0.000784314,12.76,09-08-2012,+
0.035266458,12.31,10-08-2012,-
0.043054427,11.78,11-08-2012,-
0.016977929,11.98,12-08-2012,+
0.019198664,12.21,13-08-2012,+
0.010647011,12.34,16-08-2012,+
0.01458671,12.52,17-08-2012,+
0.007188498,12.43,18-08-2012,-
0.032180209,12.03,19-08-2012,-
0.02078138,11.78,20-08-2012,-
0.01188455,11.64,23-08-2012,-
0.007731959,11.55,24-08-2012,-
0.011255411,11.42,25-08-2012,-
0.00525394,11.36,26-08-2012,-
0.011443662,11.49,27-08-2012,+
0.015665796,11.31,30-08-2012,-
0.008841733,11.41,31-08-2012,+
0.014899211,11.58,01-09-2012,+
0.010362694,11.7,02-09-2012,+
0.011965812,11.84,03-09-2012,+
0.02027027,12.08,07-09-2012,+
0.006622517,12,08-09-2012,-
0,12,09-09-2012,-
0.006666667,11.92,10-09-2012,-
0.011744966,12.06,13-09-2012,+
0.017412935,12.27,14-09-2012,+
0.006519967,12.35,15-09-2012,+
0.012145749,12.2,16-09-2012,-
0.010655738,12.33,17-09-2012,+
0.01946472,12.57,20-09-2012,+
0.00477327,12.51,21-09-2012,-
0.011191047,12.37,22-09-2012,-
0.010509297,12.24,23-09-2012,-
0.007352941,12.33,24-09-2012,+
0.01459854,12.51,27-09-2012,+
0.008792966,12.4,28-09-2012,-
0.007258065,12.31,29-09-2012,-
0.001624695,12.29,30-09-2012,-
0,12.29,01-10-2012,-
0.008950366,12.4,04-10-2012,+
0.012903226,12.56,05-10-2012,+
0.003980892,12.61,06-10-2012,+
0.012688343,12.77,07-10-2012,+
0.028974158,13.14,08-10-2012,+
0.005327245,13.07,11-10-2012,-
0.006120888,13.15,12-10-2012,+
0.030418251,13.55,13-10-2012,+
0.00295203,13.59,14-10-2012,+
0.036791759,14.09,15-10-2012,+
0.031227821,13.65,18-10-2012,-
0.018315018,13.4,19-10-2012,-
0.003731343,13.45,20-10-2012,+
0.004460967,13.39,21-10-2012,-
0.005974608,13.47,22-10-2012,+
0.009651076,13.6,25-10-2012,+
0.002205882,13.57,26-10-2012,-
0.029476787,13.17,27-10-2012,-
0.018982536,12.92,28-10-2012,-
0.001547988,12.9,29-10-2012,-
0.031007752,13.3,01-11-2012,+
0.009022556,13.42,02-11-2012,+
0.006706408,13.33,03-11-2012,-
0.039009752,13.85,04-11-2012,+
0.007220217,13.95,05-11-2012,+
0.013620072,13.76,08-11-2012,-
0.015988372,13.98,09-11-2012,+
0.022889843,14.3,10-11-2012,+
0.01048951,14.45,11-11-2012,+
0.002076125,14.42,12-11-2012,-
0.033980583,13.93,15-11-2012,-
0.012921752,13.75,16-11-2012,-
0.010909091,13.6,17-11-2012,-
0.017647059,13.84,18-11-2012,+
0.01517341,14.05,19-11-2012,+
0.007829181,14.16,22-11-2012,+
0.033898305,13.68,23-11-2012,-
0.004385965,13.74,24-11-2012,+
0.032751092,13.29,26-11-2012,-
0.001504891,13.27,29-11-2012,-
0.012057272,13.11,30-11-2012,-
0.045003814,13.7,01-12-2012,+
0,13.7,02-12-2012,-
0.034306569,14.17,03-12-2012,+
0.009880028,14.31,06-12-2012,+
0.00698812,14.21,07-12-2012,-
0.03026038,13.78,08-12-2012,-
0.015965167,14,09-12-2012,+
0,14,10-12-2012,-
0.02,13.72,13-12-2012,-
0.012390671,13.55,14-12-2012,-
0.017712177,13.31,15-12-2012,-
0.03606311,12.83,16-12-2012,-
0.013250195,13,17-12-2012,+
0.012307692,12.84,20-12-2012,-
0.004672897,12.78,21-12-2012,-
0.006259781,12.86,22-12-2012,+
0.003888025,12.91,23-12-2012,+
0,12.91,27-12-2012,-
0.01626646,12.7,28-12-2012,-
0.006299213,12.78,29-12-2012,+
