Percent Change,Close,Date,Shift
NA,127.959999,09-07-2012,-
0.005548601,128.669998,12-07-2012,+
0.014066978,130.479996,13-07-2012,+
0.001839401,130.720001,14-07-2012,+
0,130.720001,15-07-2012,-
0.020578351,128.029999,16-07-2012,-
0.013746731,129.789993,19-07-2012,+
0.024963327,126.550003,20-07-2012,-
0.010114626,125.269997,21-07-2012,-
0.017562098,127.470001,22-07-2012,+
0.007138966,128.380005,23-07-2012,+
0.000233673,128.410004,26-07-2012,+
0.00171327,128.630005,27-07-2012,+
0.00155494,128.429993,28-07-2012,-
0.003192315,128.020004,29-07-2012,-
0.002968208,128.399994,30-07-2012,+
0.018380071,130.759995,02-08-2012,+
0.002982564,130.369995,03-08-2012,-
0.006903498,131.270004,04-08-2012,+
0.004266001,131.830002,05-08-2012,+
0.012819563,130.139999,06-08-2012,-
0.014292308,132,09-08-2012,+
0.001212152,131.839996,10-08-2012,-
0.015245707,129.830002,11-08-2012,-
0.011784634,128.300003,12-08-2012,-
0.00335152,127.870003,13-08-2012,-
0.000782091,127.769997,16-08-2012,-
0.005322063,128.449997,17-08-2012,+
0.007318038,129.389999,18-08-2012,+
0.003787039,128.899994,19-08-2012,-
0.010861087,127.5,20-08-2012,-
0.008078424,126.470001,23-08-2012,-
0.012414003,124.900002,24-08-2012,-
0.00296233,125.269997,25-08-2012,+
0.01987705,122.779999,26-08-2012,-
0.015882098,124.730003,27-08-2012,+
0.01066304,123.400002,30-08-2012,-
0.002188047,123.129997,31-08-2012,-
0.021440754,125.769997,01-09-2012,+
0.005804214,125.040001,02-09-2012,-
0.020313508,127.580002,03-09-2012,+
0.012776336,125.949997,07-09-2012,-
0.001032195,126.080002,08-09-2012,+
0.002220804,126.360001,09-09-2012,+
0.012899628,127.989998,10-09-2012,+
0.012657262,129.610001,13-09-2012,+
0.005863706,128.850006,14-09-2012,-
0.004501257,129.429993,15-09-2012,+
0.001854323,129.669998,16-09-2012,+
0.004010211,130.190002,17-09-2012,+
0.012289661,131.789993,20-09-2012,+
0.00144171,131.979996,21-09-2012,+
0.004470458,132.570007,22-09-2012,+
0.006788934,131.669998,23-09-2012,-
0.018531199,134.110001,24-09-2012,+
0.004026493,134.649994,27-09-2012,+
0.001782436,134.889999,28-09-2012,+
0.004373912,135.479996,29-09-2012,+
0.009890737,134.139999,30-09-2012,-
0.011182347,135.639999,01-10-2012,+
0.002875251,135.25,04-10-2012,-
0.017818884,137.660004,05-10-2012,+
0.001307511,137.839996,06-10-2012,+
0.00638425,138.720001,07-10-2012,+
0.000937176,138.850006,08-10-2012,+
0.005833619,139.660004,11-10-2012,+
0.001360461,139.850006,12-10-2012,+
0.003718191,140.369995,13-10-2012,+
0.008050189,141.5,14-10-2012,+
0.003109555,141.059998,15-10-2012,-
0.012547881,142.830002,18-10-2012,+
0.033606406,138.029999,19-10-2012,-
0.007534652,139.070007,20-10-2012,+
0.005464838,139.830002,21-10-2012,+
0.001144275,139.669998,22-10-2012,-
0.00121714,139.839996,25-10-2012,+
0.005935369,140.669998,26-10-2012,+
0.00540268,141.429993,27-10-2012,+
0.00374743,140.899994,28-10-2012,-
0.019162613,143.600006,29-10-2012,+
0.001949854,143.320007,01-11-2012,-
0.003628168,143.839996,02-11-2012,+
0.00229423,144.169998,03-11-2012,+
0.018172956,146.789993,04-11-2012,+
0.000885653,146.919998,05-11-2012,+
0.003130894,146.460007,08-11-2012,-
0.002184951,146.139999,09-11-2012,-
0.002805556,146.550003,10-11-2012,+
0.007642511,145.429993,11-11-2012,-
0.011620629,143.740005,12-11-2012,-
0.000695742,143.639999,15-11-2012,-
0.009746547,142.240005,16-11-2012,-
0.002038864,141.949997,17-11-2012,-
0.016977838,144.360001,18-11-2012,+
0.004779731,145.050003,19-11-2012,+
0.002343992,145.389999,22-11-2012,+
0.015200537,143.179993,23-11-2012,-
0.018368523,145.809998,24-11-2012,+
0.013099266,143.899994,26-11-2012,-
0.007018729,142.889999,29-11-2012,-
0.010007642,141.460007,30-11-2012,-
0.020853929,144.410004,01-12-2012,+
0.005331964,145.179993,02-12-2012,+
0.001377683,145.380005,03-12-2012,+
0.002682625,144.990005,06-12-2012,-
0.006690123,144.020004,07-12-2012,-
0.006665685,144.979996,08-12-2012,+
0.004690254,144.300003,09-12-2012,-
0.003603631,144.820007,10-12-2012,+
0.003728822,144.279999,13-12-2012,-
0.010673746,145.820007,14-12-2012,+
0.007543588,144.720001,15-12-2012,-
0.001174668,144.550003,16-12-2012,-
0.003113089,145,17-12-2012,+
0.003379345,144.509995,20-12-2012,-
0.008511591,145.740005,21-12-2012,+
0.001440867,145.949997,22-12-2012,+
0.000411086,145.889999,23-12-2012,-
0.003769984,145.339996,27-12-2012,-
0.002545831,145.710007,28-12-2012,+
0.005558966,146.520004,29-12-2012,+
0.00102371,146.669998,30-12-2012,+
