Percent Change,Close,Date,Shift
NA,20.24,09-07-2012,+
0.016304348,20.57,12-07-2012,+
0.021390374,21.01,13-07-2012,+
0.016658782,21.360001,14-07-2012,+
0.007022425,21.51,15-07-2012,+
0.022780102,21.02,16-07-2012,-
0.027117031,21.59,19-07-2012,+
0.002779064,21.65,20-07-2012,+
0.018013857,21.26,21-07-2012,-
0.024459125,21.780001,22-07-2012,+
0.004132231,21.690001,23-07-2012,-
0.000921992,21.709999,26-07-2012,+
0.005987978,21.58,27-07-2012,-
0.011584801,21.33,28-07-2012,-
0.014064651,21.030001,29-07-2012,-
0.020447027,20.6,30-07-2012,-
0.026699029,21.15,02-08-2012,+
0.013238723,20.870001,03-08-2012,-
0.006708241,20.73,04-08-2012,-
0.002894356,20.67,05-08-2012,-
0.000967586,20.65,06-08-2012,-
0,20.65,09-08-2012,-
0.040193705,19.82,10-08-2012,-
0.019677094,19.43,11-08-2012,-
0.001029388,19.450001,12-08-2012,+
0.015424215,19.15,13-08-2012,-
0.016710131,19.469999,16-08-2012,+
0.003081767,19.530001,17-08-2012,+
0.003072145,19.59,18-08-2012,+
0.035222052,18.9,19-08-2012,-
0.000529101,18.91,20-08-2012,+
0.011105182,18.700001,23-08-2012,-
0.015508074,18.41,24-08-2012,-
0.003802281,18.48,25-08-2012,+
0.016233766,18.18,26-08-2012,-
0.0104511,18.370001,27-08-2012,+
0.022319106,17.959999,30-08-2012,-
0.016146939,17.67,31-08-2012,-
0.026598698,18.139999,01-09-2012,+
0.007717862,18.280001,02-09-2012,+
0.008205634,18.43,03-09-2012,+
0.016820347,18.120001,07-09-2012,-
0.012141335,17.9,08-09-2012,-
0.005586592,18,09-09-2012,+
0.001666722,17.969999,10-09-2012,-
0.0328325,18.559999,13-09-2012,+
0.00969833,18.74,14-09-2012,+
0.001067289,18.719999,15-09-2012,-
0.013354702,18.969999,16-09-2012,+
0.008434371,18.809999,17-09-2012,-
0.006379639,18.93,20-09-2012,+
0.01109345,19.139999,21-09-2012,+
0.006792007,19.01,22-09-2012,-
0.001578117,18.98,23-09-2012,-
0.023182297,19.42,24-09-2012,+
0.009268795,19.24,27-09-2012,-
0.014033264,19.51,28-09-2012,+
0.013839057,19.24,29-09-2012,-
0.00207895,19.200001,30-09-2012,-
0.006249948,19.32,01-10-2012,+
0.023291874,18.870001,04-10-2012,-
0.014838314,19.15,05-10-2012,+
0.008355039,19.309999,06-10-2012,+
0.00466085,19.4,07-10-2012,+
0.006185567,19.52,08-10-2012,+
0.002049129,19.559999,11-10-2012,+
0.010736248,19.77,12-10-2012,+
0.026808295,19.24,13-10-2012,-
0.004158004,19.32,14-10-2012,+
0,19.32,15-10-2012,-
0.006728727,19.190001,18-10-2012,-
0.001042105,19.209999,19-10-2012,+
0.022384176,19.639999,20-10-2012,+
0.006110031,19.76,21-10-2012,+
0.004048583,19.84,22-10-2012,+
0.001512147,19.870001,25-10-2012,+
0.008555611,20.040001,26-10-2012,+
0.00748503,20.190001,27-10-2012,+
0.013868152,20.469999,28-10-2012,+
0.020517832,20.049999,29-10-2012,-
0.025935213,20.57,01-11-2012,+
0.011181332,20.34,02-11-2012,-
0.006882989,20.48,03-11-2012,+
0.023925732,20.969999,04-11-2012,+
0.012875585,21.24,05-11-2012,+
0.00047081,21.23,08-11-2012,-
0.003297221,21.16,09-11-2012,-
0.00567103,21.040001,10-11-2012,-
0.008079752,21.209999,11-11-2012,+
0.015087318,21.530001,12-11-2012,+
0.010682861,21.299999,15-11-2012,-
0.010798076,21.07,16-11-2012,-
0.000474608,21.08,17-11-2012,+
0.0028463,21.02,18-11-2012,-
0.005708801,21.139999,19-11-2012,+
0.005203453,21.25,22-11-2012,+
0.007529412,21.09,23-11-2012,-
0.014224704,21.389999,24-11-2012,+
0.002337494,21.34,26-11-2012,-
0.000468604,21.33,29-11-2012,-
0.007969995,21.16,30-11-2012,-
0.015122873,21.48,01-12-2012,+
0.010242132,21.700001,02-12-2012,+
0.000460829,21.690001,03-12-2012,-
0.000461042,21.700001,06-12-2012,+
0.00553,21.58,07-12-2012,-
0.011121409,21.82,08-12-2012,+
0.000458341,21.809999,09-12-2012,-
0.004585099,21.91,10-12-2012,+
0.018712916,21.5,13-12-2012,-
0.001395395,21.469999,14-12-2012,-
0.008849465,21.280001,15-12-2012,-
0.000939756,21.299999,16-12-2012,+
0.007511737,21.459999,17-12-2012,+
0.010717568,21.23,20-12-2012,-
0.00612341,21.1,21-12-2012,-
0.009952654,20.889999,22-12-2012,-
0.002393442,20.84,23-12-2012,-
0,20.84,27-12-2012,-
0.001919338,20.879999,28-12-2012,+
0.002873659,20.940001,29-12-2012,+
0.003820391,21.02,30-12-2012,+
0.000475785,21.030001,31-12-2012,+
0.008559248,20.85,03-01-2013,-
0.014388489,21.15,04-01-2013,+
0.009929031,20.940001,05-01-2013,-
0.008118481,20.77,06-01-2013,-
0.0052961,20.66,07-01-2013,-
0.00145213,20.690001,10-01-2013,+
0.017399612,21.049999,11-01-2013,+
0.011876485,21.299999,12-01-2013,+
0.00046939,21.290001,13-01-2013,-
0.009863832,21.08,14-01-2013,-
0,21.08,18-01-2013,-
0.003320683,21.01,19-01-2013,-
0.002855735,20.950001,20-01-2013,-
0.006205298,20.82,21-01-2013,-
0.020172911,21.24,24-01-2013,+
0.014595056,21.549999,25-01-2013,+
0.009280789,21.75,26-01-2013,+
0,21.75,27-01-2013,-
0.013333379,21.459999,28-01-2013,-
0,21.459999,31-01-2013,-
0.000932013,21.48,01-02-2013,+
