Percent Change,Close,Date,Shift
NA,23.370001,09-07-2012,+
0.000427813,23.379999,12-07-2012,+
0.014114628,23.709999,13-07-2012,+
0.009700633,23.940001,14-07-2012,+
0.004594862,23.83,15-07-2012,-
0.02349979,23.27,16-07-2012,-
0.013751612,23.59,19-07-2012,+
0.013988978,23.92,20-07-2012,+
0.015050209,23.559999,21-07-2012,-
0.031833618,24.309999,22-07-2012,+
0.007815755,24.5,23-07-2012,+
0.005714245,24.639999,26-07-2012,+
0.002840869,24.57,27-07-2012,-
0.011802971,24.280001,28-07-2012,-
0.023887973,23.700001,29-07-2012,-
0.00253173,23.639999,30-07-2012,-
0.027495856,24.290001,02-08-2012,+
0.003293619,24.209999,03-08-2012,-
0.011565511,24.49,04-08-2012,+
0.008166558,24.290001,05-08-2012,-
0.003705146,24.379999,06-08-2012,+
0.004922026,24.26,09-08-2012,-
0.001236645,24.290001,10-08-2012,+
0.02593664,23.66,11-08-2012,-
0.030431065,22.940001,12-08-2012,-
0.012205797,22.66,13-08-2012,-
0.002647793,22.719999,16-08-2012,+
0.014524649,23.049999,17-08-2012,+
0.001735401,23.09,18-08-2012,+
0.003897791,23,19-08-2012,-
0.000869565,23.02,20-08-2012,+
0.007819288,22.84,23-08-2012,-
0.01882662,22.41,24-08-2012,-
0.000446229,22.42,25-08-2012,+
0.007582516,22.25,26-08-2012,-
0.011685393,22.51,27-08-2012,+
0.021768103,22.02,30-08-2012,-
0.008174387,21.84,31-08-2012,-
0.035714332,22.620001,01-09-2012,+
0.006189257,22.48,02-09-2012,-
0.019572954,22.92,03-09-2012,+
0.058464223,24.26,07-09-2012,+
0.004946455,24.139999,08-09-2012,-
0.007870796,24.33,09-09-2012,+
0.029593054,25.049999,10-09-2012,+
0.00239529,25.110001,13-09-2012,+
0.010752608,25.379999,14-09-2012,+
0.014184437,25.74,15-09-2012,+
0.014762976,25.360001,16-09-2012,-
0.083596172,27.48,17-09-2012,+
0.000363901,27.49,20-09-2012,+
0.024372499,26.82,21-09-2012,-
0.014168568,27.200001,22-09-2012,+
0.002941176,27.120001,23-09-2012,-
0.005899779,26.959999,24-09-2012,-
0.000370846,26.950001,27-09-2012,-
0.00890538,27.190001,28-09-2012,+
0.000735601,27.17,29-09-2012,-
0.011777696,26.85,30-09-2012,-
0.01452514,27.24,01-10-2012,+
0.012481645,26.9,04-10-2012,-
0.014869851,27.299999,05-10-2012,+
0.010256447,27.58,06-10-2012,+
0.003988434,27.690001,07-10-2012,+
0.011195341,28,08-10-2012,+
0.005357143,27.85,11-10-2012,-
0.0035907,27.950001,12-10-2012,+
0.023255777,28.6,13-10-2012,+
0.009440559,28.33,14-10-2012,-
0.020120014,28.9,15-10-2012,+
0.011418685,29.23,18-10-2012,+
0.003421177,29.129999,19-10-2012,-
0.016821147,28.639999,20-10-2012,-
0.006284951,28.82,21-10-2012,+
0.005898681,28.99,22-10-2012,+
0.005174198,28.84,25-10-2012,-
0.007281588,28.629999,26-10-2012,-
0.002445058,28.700001,27-10-2012,+
0.022996515,29.360001,28-10-2012,+
0.000681131,29.379999,29-10-2012,+
0.00850919,29.129999,01-11-2012,-
0.013731617,29.530001,02-11-2012,+
0.011175076,29.200001,03-11-2012,-
0.009246507,29.469999,04-11-2012,+
0.007465185,29.25,05-11-2012,-
0.007179453,29.040001,08-11-2012,-
0.010330613,28.74,09-11-2012,-
0.001739701,28.690001,10-11-2012,-
0.004182677,28.57,11-11-2012,-
0.008750438,28.32,12-11-2012,-
0.002824859,28.4,15-11-2012,+
0.028873239,27.58,16-11-2012,-
0.011965192,27.91,17-11-2012,+
0.014331745,28.309999,18-11-2012,+
0.005651678,28.15,19-11-2012,-
0.003552433,28.049999,22-11-2012,-
0.030659466,27.190001,23-11-2012,-
0.020227987,27.74,24-11-2012,+
